plan_subject_id,plan_id,plan_level,plan_semester,subject_id
1,1,1,1,1
2,1,1,1,2
3,1,1,1,3
4,1,1,1,4
5,1,1,1,5
6,1,1,1,6
7,1,1,1,7
,,,,
9,1,1,2,9
10,1,1,2,10
11,1,1,2,11
12,1,1,2,12
13,1,1,2,13
14,1,1,2,14
15,1,1,2,15
,,,,
17,1,2,3,17
18,1,2,3,18
19,1,2,3,19
20,1,2,3,20
21,1,2,3,21
22,1,2,3,22
,,,,
24,1,2,4,24
25,1,2,4,25
26,1,2,4,26
27,1,2,4,27
28,1,2,4,28
29,1,2,4,29
30,1,2,4,30
,,,,
32,1,3,5,32
33,1,3,5,33
34,1,3,5,34
35,1,3,5,35
36,1,3,5,36
37,1,3,5,37
,,,,
39,1,3,6,39
40,1,3,6,40
41,1,3,6,41
42,1,3,6,42
43,1,3,6,43
44,1,3,6,44
,,,,
46,1,4,7,46
47,1,4,7,47
48,1,4,7,48
49,1,4,7,49
50,1,4,7,50
,,,,
52,1,4,8,52
53,1,4,8,53
54,1,4,8,54
55,1,4,8,55
56,1,4,8,56
57,1,4,8,57
,,,,
59,1,5,9,59
60,1,5,9,60
61,1,5,9,61
62,1,5,9,62
63,1,5,9,63
,,,,
65,1,5,10,65
66,1,5,10,66
67,1,5,10,67
68,1,5,10,68
,,,,
70,2,1,1,70
71,2,1,1,71
72,2,1,1,72
73,2,1,1,73
74,2,1,1,74
75,2,1,1,75
,,,,
77,2,1,2,77
78,2,1,2,78
79,2,1,2,79
80,2,1,2,80
81,2,1,2,81
82,2,1,2,82
83,2,1,2,83
84,2,1,2,84
85,2,1,2,85
86,2,1,2,86
,,,,
88,2,2,3,88
89,2,2,3,89
90,2,2,3,90
91,2,2,3,91
92,2,2,3,92
93,2,2,3,93
94,2,2,3,94
95,2,2,3,95
96,2,2,3,96
97,2,2,3,97
,,,,
99,2,2,4,99
100,2,2,4,100
101,2,2,4,101
102,2,2,4,102
103,2,2,4,103
104,2,2,4,104
105,2,2,4,105
106,2,2,4,106
107,2,2,4,107
108,2,2,4,108
109,2,2,4,109
,,,,
111,4,1,1,111
112,4,1,1,112
113,4,1,1,113
114,4,1,1,114
115,4,1,1,115
116,4,1,1,116
,,,,
118,4,1,2,118
119,4,1,2,119
120,4,1,2,120
121,4,1,2,121
122,4,1,2,122
123,4,1,2,123
124,4,1,2,124
125,4,1,2,125
,,,,
127,4,2,3,127
128,4,2,3,128
129,4,2,3,129
130,4,2,3,130
131,4,2,3,131
132,4,2,3,132
133,4,2,3,133
,,,,
135,4,2,4,135
136,4,2,4,136
137,4,2,4,137
138,4,2,4,138
139,4,2,4,139
140,4,2,4,140
,,,,
142,3,1,1,142
143,3,1,1,143
144,3,1,1,144
145,3,1,1,145
,,,,
147,3,1,2,147
148,3,1,2,148
149,3,1,2,149
150,3,1,2,150
151,3,1,2,151
152,3,1,2,152
153,3,1,2,153
154,3,1,2,154
155,3,1,2,155
156,3,1,2,156
,,,,
158,3,2,3,158
159,3,2,3,159
160,3,2,3,160
161,3,2,3,161
162,3,2,3,162
163,3,2,3,163
164,3,2,3,164
165,3,2,3,165
166,3,2,3,166
,,,,
168,3,2,4,168
169,3,2,4,169
170,3,2,4,170
171,3,2,4,171
172,3,2,4,172
173,3,2,4,173
174,3,2,4,174
175,3,2,4,175
176,3,2,4,176
,,,,
178,6,1,1,178
179,6,1,1,179
180,6,1,1,180
181,6,1,1,181
182,6,1,1,182
183,6,1,1,183
184,6,1,1,184
,,,,
186,6,1,2,186
187,6,1,2,187
188,6,1,2,188
189,6,1,2,189
190,6,1,2,190
191,6,1,2,191
,,,,
193,6,2,3,193
194,6,2,3,194
195,6,2,3,195
196,6,2,3,196
197,6,2,3,197
198,6,2,3,198
199,6,2,3,199
200,6,2,3,200
,,,,
202,6,2,4,202
203,6,2,4,203
204,6,2,4,204
205,6,2,4,205
206,6,2,4,206
207,6,2,4,207
208,6,2,4,208
,,,,
210,5,1,1,210
211,5,1,1,211
212,5,1,1,212
213,5,1,1,213
214,5,1,1,214
215,5,1,1,215
,,,,
217,5,1,2,217
218,5,1,2,218
219,5,1,2,219
220,5,1,2,220
221,5,1,2,221
222,5,1,2,222
223,5,1,2,223
224,5,1,2,224
,,,,
226,5,2,3,226
227,5,2,3,227
228,5,2,3,228
229,5,2,3,229
230,5,2,3,230
231,5,2,3,231
232,5,2,3,232
,,,,
234,5,2,4,234
235,5,2,4,235
236,5,2,4,236
237,5,2,4,237
238,5,2,4,238
239,5,2,4,239
240,5,2,4,240
