subject_id	subject_no	subject_name	subject_load	subject_type_id	subject_category_id
					
	EEE03150-T	????? ?? ??????? - ????	2	2	1
	EEE03150-P	????? ?? ??????? - ????	1		2
	MEE03150-T	??? ????? - ????	1		1
	MEE03150-P	??? ????? - ????	2	1	2
	ACD03150	????? ?????? I	3	1	1
	ACD03152	?????? ???? I	3	1	1
	ACD03153	????? ?????? ???? I	1	1	2
	ACD03159	??? ???????? I	3	2	1
	ACD03158	??? ?????	3	2	1
					
	EEE01151	????? ?? ???????	1	1	1
	EEE44150-T	????? ??????? - ????	3	3	1
	EEE44150-P	????? ??????? - ????	1	3	2
	MEE03151-T	?????? ??????? ?????? ??????? - ????	1	1	1
	MEE03151-P	?????? ??????? ?????? ??????? - ????	2	1	2
	ACD03151	????? ?????? II	3	1	1
	ACD03154	?????? ???? II	3	1	1
	ACD03155	????? ?????? ???? II	1	1	2
	ACD03157	????? ?????????? II	3	2	1
					
	ACD03262	??????? ?????????	3	2	1
	BUS03451	????? ???????	3	2	1
	ACD03259	????? ?????? III	3	1	1
	EEE13250-T	????? ???????? I - ????	2	3	1
	EEE13250-P	????? ???????? I - ????	2	3	2
	EEE13251-T	?????????? I - ????	2	3	1
	EEE13251-P	?????????? I - ????	1	3	2
	EEE43254-T	??????????? ?????? ???????? - ????	2	3	1
	EEE43254-P	??????????? ?????? ????????  - ????	1	3	2
					
	EEE13254	??????????? ???????? 	3	2	1
	EEE11255	????? ?????	3	1	1
	ACD03265-T	???? ????? - ????	2	3	1
	ACD03265-P	???? ????? - ????	1	3	2
	EEE43354-T	????? ???????? II - ????	2	3	1
	BUS03451-P	????? ???????? II - ????	1	3	2
	EEE11151-T	?????????? II - ????	2	3	1
	EEE43360-P	?????????? II - ????	1	3	2
					
	ACD03370	???? ??????	3	2	1
	ACD03265	??????? ???????	3	1	1
	EEE14356-T	??????? ?????? ?????? - ????	3	1	1
	EEE14356-P	??????? ?????? ?????? - ????	1	1	2
	EEE43354-T	??????? ??????? ??????? - ????	2	3	1
	EEE43354-P	??????? ??????? ??????? - ????	1	3	2
	EEE33350-T	???????? ?????? ???????? - ????	2	3	1
	EEE33350-P	???????? ?????? ???????? - ????	1	3	2
	EEE43599-T	????? ????? - ????	2	3	1
	EEE43599-P	????? ????? - ????	1	3	2
					
	ACD03266	????? ?????????? ????????	3	1	1
	EEE43356-T	??? ??????? - ????	2	3	1
	EEE43356-P	??? ??????? - ????	1	3	2
	EEE43355-T	????? ????????? - ????	2	3	1
	EEE43355-P	????? ????????? - ????	1	3	2
	EEE43458-T	??? ????? ???????? - ????	2	3	1
	EEE43458-P	??? ????? ???????? - ????	1	3	2
	EEE14357-T	????? ??????? ??????? - ????	2	3	1
	EEE14357-P	????? ??????? ??????? - ????	1	3	2
	EEE43358-T	??????? ??????? - ????	2	3	1
	EEE43358-P	??????? ??????? - ????	1	3	2
					
	ACD03267	??????? ??????	3	1	1
	EEE63499-T	????? ?????? ?????? - ????	2	1	1
	EEE63499-P	????? ?????? ?????? - ????	1	1	2
	EEE43595-T	????? ?????? ????????? I - ????	2	3	1
	EEE43595-P	????? ?????? ????????? I - ????	1	3	2
	EEE44460-T	????? ?? ????????? ??????? - ????	3	3	1
	EEE44460-P	????? ?? ????????? ??????? - ????	1	3	2
	EEE43580-T	????? ???????? ???????? - ????	2	3	1
	EEE43580-P	????? ???????? ???????? - ????	1	3	2
					
	EEE03200	?????? ????? ??????	3	1	1
	EEE43462-T	????? ????? - ????	2	3	1
	EEE43462-P	????? ????? - ????	1	3	2
	EEE43465-T	?????? ????? ???????? - ????	2	3	1
	EEE43465-P	?????? ????? ???????? - ????	1	3	2
	EEE33498-T	????? ????????? - ????	2	3	1
	EEE33498-P	????? ????????? - ????	1	3	2
	EEE43596-T	????? ?????? ????????? II - ????	2	3	1
	EEE43596-P	????? ?????? ????????? II - ????	1	3	2
	EEE43496-T	????? ??????? - ????	2	3	1
	EEE43496-P	????? ??????? - ????	1	3	2
					
	EEE01554	????? ?? ????? ??????	1	1	1
	ELEC001	???? ???????? 1	3	3	
	ELEC002	???? ???????? 2	3	3	
	ELEC003	???? ???????? 3	3	3	
	EEE23595-T	?????? ???????? ??????? - ????	2	3	1
	EEE23595-P	?????? ???????? ??????? - ????	1	3	2
					
	ACD03351	????? ????? ??????	3	2	1
	EEE03555-T	????? ?????? - ????	2	1	1
	EEE03555-P	????? ?????? - ????	1	1	2
	ELEC004	???? ???????? 4	3	3	
	ELEC005	???? ???????? 5	3	3	
					
	ACD03001	????? ??????????	3	2	1
	CMP03000-T	????? ?? ??????? - ????	1	2	1
	CMP03000-P	????? ?? ??????? - ????	2	2	2
	EEE11107	???? ??????? ?	1	1	2
	EEE11107	????? ????? ??????? ??????????	1	3	2
	EEE13109	????? ??????? ??????????	3	3	1
